"table_name","column_name","python_datatype","db_datatype","row_count","unique_count","null_count","fill_rate_pct","top_10_values","bottom_10_values","min_length","max_length"
"labs","result_name","server-side","text","51862407","~557 (sampled)","2076167","96.0","CBC (INCLUDES DIFF/PLT)(2969); ECHOCARDIOGRAM COMPLETE W/ BUBBLE STUDY(2609); COMPREHENSIVE METABOLIC PANEL(1440); PROGRESS(761); Complete Blood Count(706); BASIC METABOLIC PANEL(683); HEPATIC FUNCTION PANEL(616); COMP METABOLIC PNL(474); CBC (INCLUDES DIFF/PLT) NONSPECIFIC(442); COPY(IES) SENT TO:(371)","MRI ABDOMEN WO IV CONTRAST(1); CT ANGIO HEAD NECK W CONTRAST(1); ST. JOSEPH ARU PLAN OF CARE(1); INTERVENTIONAL RADIOLOGY PROC(1); MRI COMPLETE SPINE W/C(1); MRI BRAIN+MRA HEAD+MRA NECK WO/C(1); Phenytoin SerPl QN(1); Carbamazepine SerPl QN(1); US ABDOMEN(1); MRV HEAD WO/C(1)","",""
"labs","result_parameter","server-side","text","51862407","~934 (sampled)","4511475","91.3","COPY(IES) SENT TO:(381); ALBUMIN(300); PROTEIN, TOTAL(271); HEMATOCRIT(266); HEMOGLOBIN(250); MCHC(250); RDW(250); MCH(250); MCV(250); CREATININE(236)","RACE(1); MEROPENEM(1); GENTAMICIN(1); CIPROFLOXACIN(1); CEFTAZIDIME(1); CEFEPIME(1); AMIKACIN(1); ISOLATE(1); PARENT'S FIRST NAME(1); PARENT'S LAST NAME(1)","",""
"labs","result_code","server-side","text","51862407","~0 (sampled)","49414345","4.72","","","",""
"labs","result_coding_system","server-side","varchar(5)","51862407","~0 (sampled)","49414345","4.72","","","",""
"labs","result_value","server-side","longtext","51862407","~2,924 (sampled)","3201315","93.83",">60(229); 1(215); NEGATIVE(203); 0.2(187); 0.1(180); 0.0(151); 0.3(149); 2(135); 0(120); 0.4(109)","27.2(1); 5.44(1); LEARA(1); 198(1); T wave changes are new(1); Ordered by: Counsell, Laura           Interpreter:(1); 311(1); 58.56(1); 602(1); 5.94(1)","",""
"labs","result_unit","server-side","longtext","51862407","~84 (sampled)","10192613","80.35","MG/DL(1875); %(1875); K/CUMM(1335); G/DL(869); MMOL/L(716); U/L(704); GM/DL(520); FL(465); NG/ML(461); PG(258)","% ACT(1); mcg/g Creat(1); M/uL(1); mL/24 Hr(1); 10X6(1); ug/24hr(1); mOs/kg(1); X10**6(1); second(1); mil/mcL(2)","",""
"labs","result_range","server-side","longtext","51862407","~659 (sampled)","9958210","80.8",">60(262); 32.0-36.0(246); 0.0-1.0(237); 0-2(236); 6.0-8.3(230); 150-450(203); 11.5-14.5(200); NEGATIVE(193); 0.2-1.2(191); 3.5-5.0(189)","37-54(1); Neg-Few Hyalin(1); DL80(1); 2-4(1); 1.5-6.6(1); 0.0-2.0(1); 0-0.2(1); 70-180(1); .39-15.10(1); 70-115(1)","",""
"labs","result_value_type","server-side","char(0)","51862407","~1 (sampled)","51862407","0.0","","","",""
"labs","ordering_provider_name","server-side","varchar(100)","51862407","~1 (sampled)","22468557","56.68","","","",""
"labs","order_id","server-side","char(0)","51862407","~1 (sampled)","51862407","0.0","","","",""
"labs","test_performing_lab_id","server-side","longtext","51862407","~11,893 (sampled)","44629567","13.95","10740(296); 3454(267); 3483(254); 10249(248); 15150(248); 3197(247); 3480(246); 15302(245); 10533(245); 1012(244)","7176(1); 7449(1); 7375(1); 13670(1); 7196(1); 13636(1); 7393(1); 7284(1); 7224(1); 7335(1)","",""
"labs","test_performing_lab_name","server-side","varchar(100)","51862407","~1 (sampled)","19361381","62.67","","","",""
"labs","normalcy_flag","server-side","varchar(100)","51862407","~1 (sampled)","33350095","35.7","","","",""
"labs","result_status","server-side","longtext","51862407","~2 (sampled)","5350735","89.68","0(498509); 1(1491)","1(1491); 0(498509)","",""
"labs","report_id","server-side","varchar(50)","51862407","~1 (sampled)","19361381","62.67","","","",""
"labs","report_status","server-side","longtext","51862407","~3 (sampled)","47639598","8.14","Final Results(475888); Final(2581)","Final(2581); Final Results(475888)","",""
"labs","report_description","server-side","longtext","51862407","~1 (sampled)","51485072","0.73","","","",""
"labs","specimen_source","server-side","longtext","51862407","~1 (sampled)","31343648","39.56","","","",""
"labs","specimen_number","server-side","char(0)","51862407","~1 (sampled)","51862407","0.0","","","",""
"labs","internal_note","server-side","longtext","51862407","~1 (sampled)","51638898","0.43","","","",""
"labs","note_to_patient","server-side","longtext","51862407","~1 (sampled)","51020203","1.62","","","",""
"labs","facility","server-side","varchar(20)","51862407","~1 (sampled)","48805195","5.89","","","",""
"labs","interpretation","server-side","varchar(20)","51862407","~1 (sampled)","51862407","0.0","","","",""
"labs","received","server-side","varchar(100)","51862407","~1 (sampled)","19361381","62.67","","","",""
"labs","highpriority","server-side","varchar(20)","51862407","~1 (sampled)","19361381","62.67","","","",""
"labs","cancelled","server-side","varchar(10)","51862407","~1 (sampled)","19361381","62.67","","","",""
"labs","futureorder","server-side","varchar(10)","51862407","~1 (sampled)","19361381","62.67","","","",""
"labs","inhouse","server-side","varchar(10)","51862407","~1 (sampled)","51862407","0.0","","","",""
"labs","ordered_fasting","server-side","varchar(10)","51862407","~1 (sampled)","19361381","62.67","","","",""
"labs","do_not_publish_to_patient","server-side","varchar(10)","51862407","~1 (sampled)","51862407","0.0","","","",""
"labs","interfacestatus","server-side","char(0)","51862407","~1 (sampled)","51862407","0.0","","","",""
"labs","created_datetime","server-side","date","51862407","n/a","0","100.0","","","",""
"labs","created_by","server-side","varchar(2)","51862407","~1 (sampled)","0","100.0","ND(500000)","ND(500000)","",""
"labs","ehr_source_name","server-side","varchar(9)","51862407","~1 (sampled)","0","100.0","Greenway(500000)","Greenway(500000)","",""
"labs","source_path","server-side","varchar(12)","51862407","~1 (sampled)","0","100.0","bronze_table(500000)","bronze_table(500000)","",""
"labs","data_type","server-side","varchar(10)","51862407","~1 (sampled)","0","100.0","Structured(500000)","Structured(500000)","",""
"labs","psid","server-side","int","51862407","~8,391","0","100.0","1(500000)","1(500000)","",""
"labs","nd_extracted_date","server-side","date","51862407","n/a","28923795","44.23","","","",""
"labs","Result_Document_ID","server-side","double","51862407","~11,892 (sampled)","44223290","14.73","1322114.0(296); 1088582.0(267); 1088636.0(254); 1332238.0(248); 1321636.0(248); 1045642.0(247); 1088634.0(246); 1332382.0(245); 1321910.0(245); 1089871.0(244)","1089031.0(1); 1089013.0(1); 1089044.0(1); 1088574.0(1); 1088961.0(1); 1089036.0(1); 1089038.0(1); 1088956.0(1); 1089034.0(1); 1088982.0(1)","",""
"labs","Report_date","server-side","datetime","51862407","n/a","47709274","8.01","","","",""
