"table_name","column_name","python_datatype","db_datatype","row_count","unique_count","null_count","fill_rate_pct","top_10_values","bottom_10_values","min_length","max_length"
"encounters","eid","int64","bigint","100","100","0","100.0","1001001200859760003(1); 1001001200365550002(1); 1001001200781120003(1); 1001001200844810005(1); 1001001200885870001(1); 1001001200860650001(1); 1001001200622930008(1); 1001001200758360005(1); 1001001200507870002(1); 1001001200880690001(1)","1001001200809180001(1); 1001001200827380002(1); 1001001200008720002(1); 1001001200306080002(1); 1001001200171010001(1); 1001001200885430001(1); 1001001200171480001(1); 1001001200889640001(1); 1001001200869770001(1); 1001001200872220003(1)","",""
"encounters","ndid","int64","bigint","100","93","0","100.0","100100120088919(2); 100100120005888(2); 100100120047588(2); 100100120047587(2); 100100120040287(2); 100100120088560(2); 100100120087222(2); 100100120085976(1); 100100120036555(1); 100100120078112(1)","100100120077556(1); 100100120080918(1); 100100120082738(1); 100100120000872(1); 100100120030608(1); 100100120017101(1); 100100120088543(1); 100100120017148(1); 100100120088964(1); 100100120086977(1)","",""
"encounters","enc_date","object","date","100","18","0","100.0","2013-07-07(9); 2013-07-04(9); 2013-07-05(9); 2013-07-02(8); 2013-04-25(7); 2013-04-28(7); 2013-07-06(7); 2013-04-23(6); 2013-04-29(6); 2013-04-27(6)","2013-04-29(6); 2013-04-27(6); 2013-06-30(5); 2013-04-24(5); 2013-04-30(4); 2013-07-01(4); 2013-06-29(3); 2013-04-22(3); 2013-06-12(1); 2013-07-03(1)","10","10"
"encounters","enc_end_date","object","date","100","18","0","100.0","2013-07-07(9); 2013-07-04(9); 2013-07-05(9); 2013-07-02(8); 2013-04-25(7); 2013-04-28(7); 2013-07-06(7); 2013-04-23(6); 2013-04-29(6); 2013-04-27(6)","2013-04-29(6); 2013-04-27(6); 2013-06-30(5); 2013-04-24(5); 2013-04-30(4); 2013-07-01(4); 2013-06-29(3); 2013-04-22(3); 2013-06-15(1); 2013-07-03(1)","10","10"
"encounters","enc_start_time","timedelta64[ns]","time","100","100","0","100.0","0 days 09:15:08(1); 0 days 09:17:40(1); 0 days 09:21:24(1); 0 days 09:25:39(1); 0 days 09:19:34(1); 0 days 09:22:01(1); 0 days 09:29:00(1); 0 days 09:31:42(1); 0 days 09:29:57(1); 0 days 09:35:39(1)","0 days 12:16:58(1); 0 days 12:28:16(1); 0 days 12:30:55(1); 0 days 12:31:03(1); 0 days 12:17:18(1); 0 days 12:30:42(1); 0 days 12:34:07(1); 0 days 12:29:21(1); 0 days 12:35:53(1); 0 days 12:41:21(1)","",""
"encounters","enc_end_time","timedelta64[ns]","time","100","100","0","100.0","0 days 10:33:35(1); 0 days 09:55:20(1); 0 days 10:01:53(1); 0 days 11:37:21(1); 0 days 12:24:48(1); 0 days 11:01:13(1); 0 days 11:51:44(1); 0 days 10:16:50(1); 0 days 10:31:24(1); 0 days 11:09:20(1)","0 days 13:51:42(1); 0 days 12:53:09(1); 0 days 13:57:54(1); 0 days 12:57:49(1); 0 days 14:11:02(1); 0 days 13:45:30(1); 0 days 13:43:25(1); 0 days 13:41:01(1); 0 days 14:54:01(1); 0 days 13:36:13(1)","",""
"encounters","encounter_category","object","varchar(50)","100","9","0","100.0","Office Visit(68); MRI(7); Special Studies(7); EEG(5); Infusion(4); MDA(4); Multi-Visit(2); EMG(2); Voided Visit(1)","Office Visit(68); MRI(7); Special Studies(7); EEG(5); Infusion(4); MDA(4); Multi-Visit(2); EMG(2); Voided Visit(1)","3","15"
"encounters","enc_type","object","varchar(50)","100","9","0","100.0","Office Visit(68); MRI(7); Special Studies(7); EEG(5); Infusion(4); MDA(4); Multi-Visit(2); EMG(2); Voided Visit(1)","Office Visit(68); MRI(7); Special Studies(7); EEG(5); Infusion(4); MDA(4); Multi-Visit(2); EMG(2); Voided Visit(1)","3","15"
"encounters","enc_reason","object","text","100","1","0","100.0","(100)","(100)","0","0"
"encounters","enc_appt_id","object","decimal(18,0)","100","100","0","100.0","57567(1); 51244(1); 53421(1); 57529(1); 56770(1); 48773(1); 57614(1); 42385(1); 27323(1); 55094(1)","34785(1); 44734(1); 51666(1); 55992(1); 57434(1); 57572(1); 52605(1); 57750(1); 51228(1); 55393(1)","2","5"
"encounters","enc_department","object","varchar(30)","100","1","0","100.0","(100)","(100)","0","0"
"encounters","doc_speciality","object","varchar(60)","100","3","4","96.0","Neurology(80); Diagnostic Radiology(14); Nurse Practitioner(2)","Neurology(80); Diagnostic Radiology(14); Nurse Practitioner(2)","9","20"
"encounters","enc_facility_id","object","varchar(200)","100","3","0","100.0","1001(90); 1021(6); 1020(4)","1001(90); 1021(6); 1020(4)","4","4"
"encounters","enc_location","object","varchar(30)","100","1","0","100.0","11(100)","11(100)","2","2"
"encounters","enc_status","object","varchar(30)","100","0","100","0.0","","","",""
"encounters","enc_document_flg","object","char(2)","100","1","0","100.0","(100)","(100)","0","0"
"encounters","enc_document_id","object","varchar(50)","100","0","100","0.0","","","",""
"encounters","pregnancy_flg","object","char(1)","100","1","0","100.0","N(100)","N(100)","1","1"
"encounters","inpatient_flg","object","char(1)","100","1","0","100.0","(100)","(100)","0","0"
"encounters","provider_id","object","varchar(30)","100","16","0","100.0","1015(14); 1004(13); 1009(10); 1012(10); 1010(8); 1006(7); 1021(6); 1013(5); 1016(5); 1020(4)","1021(6); 1013(5); 1016(5); 1020(4); 1024(4); 1017(4); 1011(4); 1008(3); 1023(2); 1014(1)","4","4"
"encounters","supervising_provider_id","object","varchar(100)","100","1","0","100.0","(100)","(100)","0","0"
"encounters","primary_provider_id","object","varchar(100)","100","17","83","17.0","2175(1); 2440(1); 1127(1); 1007(1); 1072(1); 1219(1); 1726(1); 2199(1); 2372(1); 2714(1)","2199(1); 2372(1); 2714(1); 3922(1); 3728(1); 3292(1); 1144(1); 2089(1); 2865(1); 2321(1)","4","4"
"encounters","referral_flg","object","varchar(15)","100","1","0","100.0","(100)","(100)","0","0"
"encounters","referring_provider_id","object","varchar(30)","100","1","0","100.0","0(100)","0(100)","1","1"
