"table_name","column_name","python_datatype","db_datatype","row_count","unique_count","null_count","fill_rate_pct","top_10_values","bottom_10_values","min_length","max_length"
"examination","examid","server-side","varchar(30)","90180319","n/a","967002","98.93","61865025(3); 62737821(2); 62756405(2); 62733760(2); 62756389(2); 62753091(2); 62737786(2); 62737852(2); 62756371(2); 62753082(2)","62684303(1); 62684014(1); 62683839(1); 62684621(1); 62683989(1); 62684015(1); 62683858(1); 62684706(1); 62684693(1); 62684004(1)","",""
"examination","ndid","server-side","bigint","90180319","~931,796","0","100.0","100100010000001(20110); 100100010001189(2069); 100100010002865(1741); 100100010002908(1453); 100100010000392(1307); 100100010004965(1285); 100100010003138(1227); 100100010003455(1178); 100100010003751(1164); 100100010003130(1151)","100100010000603(1); 100100010001206(1); 100100010001065(1); 100100010000219(1); 100100010000121(1); 100100010000898(1); 100100010000960(1); 100100010001293(1); 100100010000023(1); 100100010000627(1)","",""
"examination","eid","server-side","bigint","90180319","~5,503,199","11646","99.99","1001000100025520073(85); 1001000100029070050(79); 1001000100017960060(76); 1001000100017960055(76); 1001000100041230213(67); 1001000100034490043(66); 1001000100000012435(66); 1001000100008960121(65); 1001000100039160041(64); 1001000100041230227(63)","1001000100000010472(1); 1001000100000010475(1); 1001000100000010740(1); 1001000100000010526(1); 1001000100000010480(1); 1001000100000010522(1); 1001000100050540122(1); 1001000100000010525(1); 1001000100000010524(1); 1001000100000010591(1)","",""
"examination","enc_start_date","server-side","date","90180319","n/a","39706","99.96","","","",""
"examination","exam_date","server-side","date","90180319","n/a","967002","98.93","","","",""
"examination","exam_category","server-side","varchar(255)","90180319","n/a","28188635","68.74","Neurology Exam - full(355987); neuro comprehensive(49021); neuro follow up(46323); Neurology follow up exam-basic -HA(22842); botox - F/U headache(13744); PM&R Exam - Neurologic Patient(5087); botulinum toxin f/u(3707); tremor(1067); Sleep-Valle(796); cognitive impairment follow up(657)","Hand / upper extremities(2); Lumbar and Hip(2); COVID-19 Exam(4); Neurology Lower Extremity Exam(8); C-Spine - Shoulder(29); Neurology Upper Extremity Exam(33); PM&R FollowUp - Neurologic Patient(43); DBS exam(75); Old Sleep(206); Sleep Exam(367)","",""
"examination","exam_name","server-side","varchar(255)","90180319","n/a","533028","99.41","Cranial Nerves(167741); Motor / Coordination Exam(131686); Mental Status(76668); Gait and Stance(28186); Reflexes(27380); Sensory(23296); Language(14933); Constitutional(6216); Heart / vascular(5997); Neck(5599)","Sensory Examination(1); Extremities: Skin, vascular(1); Posture / Inspection(1); L-Spine(1); ENMT(2); Special Tests(2); Neurologic / Musculoskeletal - Lowers and General(3); Palpation(3); Deep Tendon Reflexes(5); Motor Strength(6)","",""
"examination","exam_findings","server-side","longtext","90180319","n/a","6148076","93.18","Orientationoriented to person(7038); Orientationoriented to place(6910); Coordination:normal finger-to-nose(6687); Orientationoriented to time(6680); Gait/Posture:station normal(6518); language(normal) language: no dysphasia / aphasia(6464); language(normal) articulation: no dysarthria(6464); Gait/Posture:ambulates independently(6192); CN VII Right:normal facial expression(6108); CN VII Left:normal facial expression(6060)","Left Knee:full ROM(1); Thoracic Spine:kyphosis(1); Left Hand:hand intrinsics 5/5(1); Ambulation:ambulates w/ walker(1); CN II Right:no venous pulsations(1); Memory/Other:recent ((GUARANTORFIRSTNAME)) intact(1); Appearancepalate: {{low lying|normal|post surgical}}(1); Right  and Left Wrist motor strength: M.R.C. grading listed Right / Leftextension {{0|1|2|3|4-|4|4+|5*}}/ {{0|1|2|3|4-|4|4+|5*}}(1); Right / Left Elbow Strength: listed by M.R.C. as Right / Leftextension {{0|1|2|3|4-|4|4+|5*}}/ {{0|1|2|3|4-|4|4+|5*}}(1); Frontal Release Signs:root present {{b/l| L |R}}(1)","",""
"examination","created_datetime","server-side","datetime","90180319","n/a","0","100.0","","","",""
"examination","created_by","server-side","varchar(30)","90180319","n/a","0","100.0","ND(500000)","ND(500000)","",""
"examination","ehr_source_name","server-side","varchar(10)","90180319","n/a","0","100.0","athenaone(500000)","athenaone(500000)","",""
"examination","source_path","server-side","varchar(12)","90180319","n/a","0","100.0","bronze_layer(500000)","bronze_layer(500000)","",""
"examination","data_type","server-side","varchar(10)","90180319","n/a","0","100.0","Structured(500000)","Structured(500000)","",""
"examination","psid","server-side","int","90180319","~7,747","0","100.0","1(500000)","1(500000)","",""
"examination","finding_type","server-side","varchar(5000)","90180319","n/a","68406224","24.15","NORMAL(453001); ABNORMAL(39651); NEUTRAL(4623); Mild(134); Mother(55); subtle(45); very mild(40); Sister(32); Above the mask(21); L>R(19)","LUE,LLE(1); Uses heel braces for b/l foot droop(1); chuck(1); resting BLE tremor bilaterally; right lower extremity tremor--predominant in her heel with a high frequency up-and-down motion.  Vertical chin tremor(1); minimal and only with ROM testing and during injection(1); Subtle, with quick return to midline(1); Subtle bilateral action tremor observed with outstretched hands, L>R. No resting component observed today(1); Essential tremor b/l hands. Very slight resting tremor L hand.(1); Very subtle tremor in b/l UE. R>L  Very subtle tremor in b/l UE. R>L(1); compared to left(1)","",""
"examination","exam_parameters","server-side","varchar(500)","90180319","n/a","68406223","24.15","General(36377); Memory/Other:(33363); Orientation(29936); Gait/Posture:(28323); Sensation:(23436); CN III(22497); Coordination:(20920); CN XII:(20319); CN III, IV, VI: EOM(18073); Right Upper Extremity:(17925)","Left:(1); External Rotation Shoulder Motor Strength on the Right:(1); Left Great Toe Strength:(1); Extremity Edema Left:(1); Elbow flexion(1); Cranial nerves(1); Finger Flexors(1); Sensation: vibratory(1); Lower Extremities: Tone and muscle bulk(1); Posture / Inspection(1)","",""
"examination","nd_extracted_date","server-side","date","90180319","n/a","26519964","70.59","","","",""
